locus	segsites1	pairlocus	segsites2	segsites
1953	4	368658	12	16
1965	1	288464	2	3
1968	2	1967	4	6
1980	3	1979	4	7
1993	2	368702	1	3
1995	1	368707	1	2
1997	3	1996	2	5
2014	2	2013	2	4
2032	2	2031	5	7
2045	1	2044	1	2
2053	1	368765	3	4
2060	2	2059	4	6
2061	4	368776	4	8
2064	2	2063	4	6
2094	1	2093	3	4
2096	1	2095	2	3
2102	2	2101	4	6
2111	4	368875	5	9
2119	3	2118	4	7
2132	4	2131	3	7
2136	1	2135	7	8
2165	1	2164	1	2
2213	4	2212	3	7
2218	2	2217	2	4
2252	3	369019	7	10
2254	3	2253	3	6
2265	1	2264	1	2
2269	1	369063	6	7
2272	2	369071	1	3
2280	2	369085	2	4
2292	5	2291	6	11
2299	3	2298	2	5
2326	4	369152	9	13
2347	2	2346	6	8
2366	3	369198	3	6
2370	4	2369	3	7
2396	5	369230	6	11
2419	3	369276	4	7
2440	2	369310	2	4
2455	4	369322	9	13
2473	4	369393	5	9
2491	2	2490	2	4
2493	9	2492	2	11
2507	2	2506	15	17
2544	5	2543	1	6
2558	1	2557	2	3
2565	3	369558	4	7
2567	8	2566	2	10
2579	1	369571	3	4
2581	10	369578	2	12
2612	1	2611	1	2
2655	2	369712	6	8
2689	10	2688	3	13
2692	10	811379	1	11
2702	6	2701	1	7
2705	1	2704	2	3
2729	7	2728	1	8
2752	1	370051	10	11
2777	2	2776	1	3
2805	3	370121	2	5
2816	5	2815	2	7
2842	8	2841	3	11
2854	10	2853	7	17
2864	1	370264	3	4
2867	5	370270	9	14
2881	1	370320	4	5
2886	2	2885	2	4
2925	2	370374	2	4
2948	1	2947	3	4
2969	2	2968	1	3
2971	1	2970	1	2
2979	2	370513	1	3
3067	5	3066	1	6
3071	3	370724	5	8
3076	2	3075	3	5
3082	1	3081	2	3
3088	4	370768	4	8
3108	4	370843	3	7
3111	3	370848	7	10
3123	8	3122	21	29
3126	1	3125	2	3
3135	2	370890	2	4
3140	4	370901	6	10
3147	1	3146	1	2
3154	5	3153	2	7
3157	2	370924	64	66
3159	3	3158	5	8
3172	6	3171	2	8
3182	2	288772	4	6
3184	6	3183	3	9
3189	3	370971	6	9
3201	2	3200	1	3
3209	1	371027	2	3
3225	4	371082	4	8
3286	6	3285	1	7
3308	4	371225	6	10
3413	12	371505	4	16
3436	1	371586	12	13
3438	1	3437	2	3
3444	2	3443	2	4
3463	2	288853	1	3
3475	4	371766	7	11
3521	1	3520	11	12
3529	16	371870	4	20
3530	9	371897	1	10
3573	4	3572	3	7
3575	3	372029	6	9
3586	5	3585	3	8
3589	6	3588	3	9
3617	5	288902	9	14
3643	1	812253	9	10
3647	4	372238	1	5
3651	2	3650	1	3
3674	3	3673	4	7
3684	7	372337	14	21
3687	5	3686	4	9
3698	6	3697	14	20
3710	2	372394	1	3
3716	1	372407	10	11
3741	1	3740	2	3
3749	1	372457	6	7
3754	4	372461	4	8
3763	3	3762	1	4
3779	2	3778	3	5
3780	2	372514	9	11
3811	2	3810	1	3
3954	2	3953	2	4
4105	3	4103	1	4
4127	8	373107	6	14
4135	1	373140	6	7
4176	3	373224	8	11
4220	1	4219	2	3
4227	18	4226	3	21
4236	4	373336	5	9
4241	10	4240	5	15
4263	3	289189	2	5
4265	3	4264	1	4
4292	7	4291	4	11
4295	4	4294	5	9
4304	6	4303	2	8
4306	2	373449	3	5
4314	3	4313	7	10
4316	6	373472	6	12
4322	2	4321	2	4
4347	4	373574	10	14
4361	4	4360	3	7
4370	4	4369	3	7
4374	1	4373	7	8
4399	5	373667	6	11
4406	4	4405	2	6
4420	4	373707	5	9
4440	5	373758	3	8
4449	2	373778	14	16
4459	5	289249	1	6
4471	5	373840	3	8
4485	2	4484	4	6
4491	2	373914	4	6
4519	5	373942	6	11
4528	2	4527	2	4
4532	1	4531	1	2
4553	1	4552	3	4
4571	2	374062	6	8
4573	6	289277	5	11
4593	4	4592	3	7
4599	1	374118	2	3
4612	4	4611	2	6
4619	1	4618	2	3
4638	7	4637	4	11
4648	8	4647	4	12
4662	4	374237	6	10
4697	3	4696	37	40
4698	1	374330	5	6
4746	6	4745	3	9
4771	3	374438	1	4
4775	2	4774	6	8
4821	13	4820	2	15
4846	2	4845	6	8
4849	3	374555	2	5
4855	18	374561	13	31
4867	1	4866	9	10
4919	1	4918	3	4
4936	7	374684	14	21
4945	4	374696	3	7
5033	1	5032	3	4
5064	1	5063	1	2
5067	2	5066	3	5
5111	1	5110	3	4
5172	1	375076	1	2
5182	1	5181	4	5
5196	27	375120	10	37
5198	1	5197	1	2
5201	2	5200	1	3
5247	2	5246	4	6
5252	2	289486	2	4
5279	1	5278	4	5
5284	5	289492	11	16
5288	1	5287	2	3
5290	1	5289	1	2
5301	3	375284	6	9
5315	16	375306	6	22
5316	7	375307	6	13
5321	1	5320	1	2
5339	3	375333	10	13
5346	2	5345	1	3
5350	2	5349	2	4
5362	5	5361	3	8
5388	6	375464	9	15
5395	6	375467	5	11
5397	6	5396	6	12
5410	1	5409	7	8
5418	5	5417	4	9
5451	2	5450	1	3
5469	4	5468	1	5
5472	3	375569	8	11
5483	2	5482	3	5
5488	1	5487	1	2
5489	4	375586	3	7
5511	1	375625	6	7
5526	3	5525	1	4
5528	4	5527	3	7
5533	3	5532	7	10
5545	2	5544	4	6
5550	1	5549	2	3
5560	6	375656	2	8
5566	8	5565	3	11
5570	4	375670	2	6
5580	2	375679	2	4
5588	6	5587	2	8
5589	1	375690	2	3
5606	11	5605	5	16
5611	3	5610	3	6
5616	12	5615	4	16
5666	1	5665	4	5
5669	3	5668	1	4
5694	2	5693	1	3
5735	4	5734	4	8
5737	5	5736	3	8
5738	3	375835	2	5
5740	4	5739	2	6
5753	2	375861	15	17
5761	1	5760	1	2
5764	3	5763	3	6
5777	2	375884	8	10
5791	1	375890	1	2
5798	1	5797	4	5
5839	5	5838	3	8
5860	4	376009	3	7
5879	2	5878	1	3
5888	2	5887	2	4
5889	7	376031	10	17
5901	5	376042	6	11
5902	2	376043	4	6
5904	1	5903	1	2
5910	6	5909	2	8
5913	2	5912	1	3
5915	7	5914	5	12
5929	3	289623	2	5
5938	1	5936	4	5
5940	3	5939	6	9
5946	3	5945	3	6
5956	3	376102	1	4
5958	1	5957	2	3
5979	2	5978	4	6
5984	7	5983	3	10
5989	1	376131	1	2
6005	2	6004	6	8
6031	2	376173	1	3
6036	1	376179	1	2
6040	3	6039	2	5
6043	2	6042	3	5
6051	2	6050	2	4
6055	1	289655	4	5
6062	1	6061	4	5
6066	1	6065	4	5
6068	2	6067	3	5
6071	1	6070	1	2
6092	2	6091	5	7
6096	3	6095	1	4
6113	1	6112	4	5
6157	2	6156	1	3
6158	1	376327	1	2
6162	7	6161	2	9
6177	2	6176	2	4
6179	2	6178	1	3
6193	3	376348	3	6
6208	1	6207	1	2
6235	3	376377	4	7
6241	4	6240	3	7
6264	4	376408	7	11
6267	1	6266	6	7
6269	3	6268	1	4
6286	4	289715	5	9
6297	1	6296	2	3
6311	2	376464	1	3
6340	2	6339	2	4
6342	1	6341	1	2
6345	1	6344	1	2
6383	1	376540	5	6
6389	2	6388	1	3
6427	1	6426	4	5
6437	1	289743	3	4
6441	1	376606	2	3
6529	1	6528	1	2
6532	1	6531	11	12
6604	21	6603	1	22
6725	1	376960	8	9
6771	1	6770	1	2
6796	2	6795	2	4
6818	3	377128	24	27
6838	3	377175	2	5
6843	1	6842	1	2
6845	6	6844	4	10
6851	3	6850	10	13
6875	3	6874	1	4
6906	1	377315	3	4
6913	4	6912	1	5
6927	1	377344	2	3
6929	3	6928	2	5
6954	13	289903	2	15
6983	3	289907	2	5
7000	2	6999	2	4
7041	2	377497	5	7
7047	6	377504	3	9
7049	1	377509	1	2
7053	1	7052	4	5
7073	1	377563	3	4
7088	12	7087	2	14
7112	4	377605	6	10
7121	6	377625	6	12
7126	3	7125	1	4
7140	12	7139	9	21
7151	5	377682	2	7
7169	2	377713	3	5
7180	4	7179	2	6
7184	1	377762	1	2
7189	2	7188	6	8
7198	1	377771	3	4
7221	7	377869	3	10
7228	26	7227	8	34
7250	1	7249	2	3
7261	5	377915	5	10
7285	5	7284	2	7
7288	1	377940	2	3
7293	1	377957	5	6
7295	1	7294	3	4
7317	3	7316	9	12
7374	4	378114	3	7
7417	4	378157	5	9
7436	1	378186	2	3
7451	5	378199	12	17
7464	1	7463	4	5
7480	8	290020	1	9
7511	5	378284	9	14
7513	2	378292	3	5
7519	2	378297	1	3
7558	1	7557	4	5
7561	1	378365	1	2
7566	4	7565	4	8
7568	1	378383	1	2
7571	5	7570	3	8
7574	3	7573	6	9
7582	7	7581	3	10
7594	1	378432	15	16
7606	2	378448	2	4
7611	5	378463	3	8
7614	4	7613	15	19
7617	14	378469	10	24
7626	2	378487	4	6
7631	1	7630	4	5
7634	3	378496	2	5
7646	3	7645	3	6
7664	7	7663	3	10
7667	13	378567	11	24
7711	1	378703	2	3
7724	2	7723	5	7
7726	4	7725	7	11
7740	6	378758	3	9
7757	4	378802	2	6
7764	5	7763	6	11
7777	5	7776	2	7
7793	2	7792	1	3
7809	4	7808	2	6
7812	3	7811	1	4
7832	2	290113	6	8
7841	4	7840	1	5
7844	5	379003	6	11
7850	7	7849	1	8
7852	1	290118	1	2
7861	7	7860	5	12
7867	6	379025	6	12
7903	4	7902	5	9
7913	5	7912	2	7
7923	4	379193	7	11
7941	6	7940	2	8
7958	4	379293	11	15
7995	5	7994	1	6
8007	1	379357	2	3
8020	4	379391	12	16
8054	2	379444	3	5
8058	2	8057	1	3
8097	1	379527	7	8
8099	1	379530	6	7
8107	2	8106	2	4
8110	6	379548	5	11
8125	3	379577	7	10
8130	2	8129	3	5
8151	1	8148	1	2
8154	7	379606	5	12
8159	11	8158	1	12
8171	1	8170	4	5
8191	4	379698	4	8
8202	2	8201	2	4
8209	4	379724	8	12
8234	2	290202	1	3
8238	2	379749	4	6
8253	2	8252	17	19
8261	1	8260	1	2
8280	3	290211	1	4
8302	1	8301	2	3
8317	1	379852	1	2
8372	1	379950	5	6
8383	3	379993	2	5
8387	1	8386	1	2
8408	2	290244	15	17
8423	4	8422	5	9
8426	9	8425	6	15
8448	2	8447	7	9
8464	3	8463	2	5
8487	1	380142	7	8
8504	2	380167	5	7
8531	3	8530	2	5
8542	14	8541	20	34
8633	1	8632	1	2
8653	2	8652	21	23
8659	3	8658	5	8
8671	4	8670	2	6
8676	7	8675	6	13
8681	3	8680	3	6
8689	5	8688	1	6
8709	5	8708	1	6
8716	2	290330	6	8
8719	2	380464	3	5
8723	3	8722	2	5
8738	1	380492	7	8
8761	1	8760	1	2
8763	1	8762	6	7
8789	2	380554	2	4
8795	3	8794	2	5
8801	2	8800	1	3
8805	1	290349	3	4
8817	2	380602	4	6
8840	4	8839	1	5
8845	2	8844	5	7
8847	1	8846	1	2
8865	3	8864	2	5
8871	2	8870	3	5
8875	6	380651	14	20
8897	14	8896	9	23
8899	3	8898	6	9
8915	1	8914	3	4
8946	4	8945	5	9
8956	6	380728	3	9
8974	10	290392	5	15
8979	8	8978	4	12
8991	2	380762	1	3
8997	2	8996	1	3
8998	2	8995	3	5
9007	1	9006	2	3
9015	3	9014	3	6
9030	2	9029	2	4
9032	4	9031	9	13
9038	4	9037	4	8
9059	4	9058	5	9
9061	5	380829	2	7
9062	1	380831	4	5
9068	1	9067	3	4
9097	2	9096	7	9
9107	2	9106	2	4
9108	7	380886	6	13
9114	2	380902	3	5
9130	3	380944	1	4
9132	4	9131	2	6
9135	4	380949	1	5
9137	1	9136	3	4
9154	2	9153	1	3
9172	1	9171	1	2
9176	7	381020	1	8
9183	2	381022	2	4
9191	2	9190	1	3
9193	1	9192	1	2
9211	3	9210	1	4
9222	2	381064	7	9
9226	7	381066	17	24
9229	4	290432	3	7
9281	2	9280	1	3
9303	7	381149	2	9
9318	1	9317	2	3
9330	1	381172	3	4
9356	1	9355	4	5
9363	2	9362	2	4
9375	3	9374	1	4
9381	1	381215	1	2
9394	4	9393	3	7
9410	1	9409	2	3
9430	2	9429	1	3
9445	1	381251	7	8
9477	4	9476	1	5
9496	3	9495	6	9
9498	4	9497	2	6
9505	2	290485	4	6
9511	1	9510	3	4
9520	10	381299	1	11
9533	1	381307	1	2
9543	7	381320	1	8
9564	3	9563	7	10
9585	3	9584	3	6
9598	1	9597	1	2
9600	5	9599	2	7
9604	7	290504	1	8
9613	4	381391	14	18
9620	2	9619	1	3
9625	1	9624	1	2
9628	5	9627	3	8
9644	2	381429	2	4
9715	4	9714	2	6
9719	1	9718	5	6
9729	1	381506	12	13
9741	2	381542	2	4
9778	7	9777	6	13
9782	5	9781	3	8
9801	1	381609	4	5
9803	3	9802	1	4
9823	7	381634	1	8
9825	1	9824	3	4
9838	4	9837	3	7
9839	1	381646	1	2
9844	1	9843	4	5
9862	7	9861	4	11
9864	1	9863	2	3
9872	1	9871	2	3
9878	1	9877	1	2
9901	6	381678	1	7
9911	1	9910	7	8
9959	2	9958	2	4
9970	3	9969	2	5
9982	16	9981	2	18
10058	1	381824	5	6
10085	3	10084	3	6
10090	1	10089	4	5
10108	2	381897	2	4
10120	1	10119	4	5
10121	1	381919	3	4
10135	69	290626	6	75
10189	1	381991	2	3
10199	2	10198	1	3
10213	3	10212	4	7
10221	3	10220	4	7
10258	3	10257	2	5
10270	1	10269	1	2
10315	1	10314	2	3
10319	4	10318	3	7
10321	4	10320	1	5
10329	1	382143	3	4
10335	3	10334	2	5
10353	8	10352	1	9
10355	1	10354	1	2
10361	2	290676	1	3
10389	1	10388	1	2
10391	1	10390	2	3
10420	3	10419	5	8
10442	1	10441	2	3
10468	6	10467	1	7
10481	2	382292	2	4
10490	1	10489	1	2
10500	2	10499	1	3
10540	2	10539	4	6
10612	2	382431	3	5
10627	6	10626	1	7
10628	1	382445	1	2
10642	1	10641	1	2
10652	2	10651	1	3
10653	4	382460	7	11
10671	3	10670	6	9
10676	3	10675	1	4
10679	1	382479	3	4
10685	3	382493	4	7
10687	2	10686	2	4
10704	2	382504	1	3
10735	7	10734	6	13
10742	3	382547	16	19
10745	9	10744	3	12
10788	3	382603	2	5
10797	1	290788	4	5
10806	2	10805	2	4
10808	14	10807	1	15
10818	3	10817	8	11
10867	2	816499	2	4
10869	1	10868	2	3
10875	2	10874	2	4
10877	2	10876	1	3
10908	2	382710	1	3
10922	1	10921	1	2
10954	2	10953	1	3
10969	1	10968	7	8
10989	1	10988	1	2
10992	1	382794	23	24
10995	8	10994	3	11
11000	2	382818	2	4
11025	1	290846	1	2
11041	2	11040	2	4
11066	5	290863	4	9
11083	9	11082	1	10
11085	1	11084	2	3
11102	1	11101	2	3
11104	4	11103	4	8
11112	2	382946	3	5
11115	5	382949	2	7
11116	4	382950	5	9
11119	3	11118	3	6
11125	3	11124	1	4
11127	2	11126	2	4
11136	1	11135	1	2
11141	3	11140	9	12
11146	1	11145	3	4
11169	3	383007	2	5
11173	2	11172	1	3
11179	1	11178	5	6
11189	3	11188	2	5
11203	5	11202	1	6
11208	1	11207	2	3
11214	4	11213	2	6
11218	1	11217	1	2
11248	3	383077	6	9
11260	3	383084	14	17
11277	3	383104	4	7
11309	1	383145	4	5
11341	3	11340	8	11
11343	1	11342	11	12
11344	2	383179	8	10
11380	1	383213	4	5
11385	1	11384	3	4
11460	7	290966	2	9
11475	5	383298	3	8
11483	2	11482	1	3
11486	3	11485	5	8
11491	2	11490	1	3
11493	3	11492	1	4
11496	2	383312	9	11
11504	3	383325	4	7
11520	3	11519	1	4
11567	1	11566	1	2
11614	1	383406	1	2
11637	1	11636	1	2
11649	1	383457	3	4
11662	3	11661	3	6
11664	3	11663	9	12
11668	3	383480	7	10
11696	1	383525	5	6
11723	2	383571	4	6
11738	3	11737	1	4
11769	5	383616	16	21
11798	4	383651	3	7
11818	8	383683	3	11
11865	4	11864	9	13
11869	2	11868	1	3
11871	2	11870	1	3
11872	3	291050	1	4
11883	1	11882	1	2
11889	1	11888	1	2
12003	1	12002	4	5
12011	2	383875	4	6
12012	2	383889	1	3
12021	1	12020	2	3
12026	3	12025	1	4
12030	1	383901	5	6
12046	1	12045	1	2
12057	1	12056	1	2
12069	5	12068	1	6
12083	1	383944	1	2
12106	2	384000	1	3
12113	3	12112	1	4
12129	1	12128	1	2
12130	1	384023	2	3
12135	2	12134	2	4
12146	2	384040	2	4
12149	4	12148	4	8
12156	1	12155	1	2
12162	5	384047	3	8
12170	2	384057	2	4
12177	2	12176	6	8
12198	4	12197	1	5
12208	3	12207	3	6
12251	3	12250	2	5
12253	1	384119	1	2
12261	2	12260	2	4
12280	6	12279	1	7
12287	2	817132	6	8
12300	1	12299	1	2
12307	1	12306	16	17
12318	2	12317	1	3
12322	1	12321	6	7
12323	2	384160	5	7
12328	1	384161	3	4
12337	3	291176	2	5
12347	6	384181	3	9
12351	1	12350	1	2
12363	3	12362	3	6
12378	2	12377	7	9
12386	6	384214	5	11
12389	5	384221	8	13
12395	1	384228	5	6
12409	5	12408	2	7
12429	3	12428	3	6
12439	3	12438	4	7
12441	2	12440	2	4
12449	2	384281	4	6
12460	2	384287	4	6
12468	3	12467	5	8
12476	1	384293	3	4
12491	4	384311	3	7
12505	2	384325	5	7
12532	1	384342	2	3
12538	2	12537	3	5
12543	4	12542	4	8
12548	1	12547	2	3
12561	1	12560	1	2
12564	4	384358	5	9
12579	2	12578	8	10
12595	1	291241	1	2
12604	1	12603	1	2
12625	3	12624	6	9
12654	4	291262	1	5
12660	4	12659	4	8
12671	1	12670	2	3
12673	8	291266	2	10
12680	5	12679	3	8
12699	7	291270	3	10
12704	2	12703	1	3
12706	4	291275	5	9
12709	1	12708	5	6
12746	2	12745	5	7
12764	3	12763	55	58
12801	5	12800	7	12
12802	4	384639	2	6
12816	1	12815	3	4
12845	5	12844	6	11
12848	2	12847	4	6
12859	5	12858	4	9
12875	7	384711	5	12
12885	4	12884	6	10
12897	7	12896	8	15
12899	9	12898	1	10
12920	1	12919	2	3
12938	4	291335	3	7
12974	2	12973	2	4
13003	1	13002	1	2
13006	3	291347	2	5
13031	2	13030	1	3
13055	6	13054	3	9
13057	1	384902	2	3
13065	4	384910	2	6
13084	11	13083	7	18
13086	1	384929	3	4
13094	1	13093	1	2
13107	2	13106	1	3
13117	5	13116	16	21
13128	4	13127	1	5
13164	6	384991	3	9
13174	6	291396	5	11
13177	2	13176	1	3
13187	2	13186	1	3
13201	7	291408	3	10
13233	3	13232	2	5
13256	1	13255	1	2
13262	2	13261	4	6
13286	1	13285	1	2
13296	1	13295	3	4
13393	1	13392	2	3
13397	1	291449	2	3
13404	3	13403	1	4
13423	9	385204	2	11
13477	1	385272	4	5
13496	1	291466	2	3
13500	4	13499	4	8
13510	4	13509	1	5
13534	2	385329	1	3
13552	1	13551	1	2
13562	2	13561	2	4
13576	3	291490	3	6
13612	2	13611	1	3
13656	1	13655	3	4
13668	3	385450	4	7
13675	2	13674	1	3
13691	1	13690	1	2
13715	1	13714	1	2
13721	2	13720	1	3
13728	4	13727	5	9
13739	2	385508	7	9
13741	8	13740	8	16
13754	5	13753	2	7
13761	9	13760	6	15
13798	6	13797	5	11
13801	5	13800	7	12
13805	13	13804	3	16
13821	4	385583	3	7
13828	1	13827	2	3
13866	1	13865	1	2
13873	1	13872	3	4
13879	2	291561	2	4
13897	1	13896	5	6
13901	3	13900	3	6
13910	8	13909	4	12
13918	5	13917	3	8
13930	8	13929	6	14
13940	5	13939	1	6
13961	3	13960	1	4
13967	1	13966	3	4
13984	5	13983	3	8
14002	3	14001	1	4
14013	4	14012	6	10
14028	1	385771	2	3
14038	1	385785	8	9
14047	7	14046	3	10
14061	5	14060	5	10
14067	2	14066	15	17
14069	5	14068	3	8
14080	3	14079	4	7
14090	6	291615	10	16
14096	1	291622	5	6
14110	6	14109	7	13
14117	5	14116	1	6
14120	5	14119	2	7
14123	6	385845	4	10
14134	1	385859	1	2
14150	4	14149	1	5
14155	3	14154	4	7
14161	4	14160	6	10
14163	7	14162	4	11
14169	2	14168	7	9
14178	7	14177	1	8
14181	5	14180	5	10
14186	3	14185	5	8
14239	4	385973	5	9
14252	4	385991	4	8
14267	3	14266	1	4
14273	2	14272	1	3
14276	1	14275	1	2
14295	2	14294	1	3
14301	5	14300	2	7
14315	1	14314	1	2
14367	3	14366	2	5
14372	6	14371	3	9
14386	3	14385	7	10
14392	2	386126	7	9
14395	1	14394	2	3
14403	1	14402	1	2
14413	2	386160	1	3
14417	3	14416	3	6
14437	1	14436	3	4
14468	2	386200	5	7
14477	6	14476	2	8
14483	4	14482	2	6
14488	6	14487	3	9
14503	6	14502	6	12
14505	9	386243	9	18
14508	1	14507	3	4
14526	5	386268	4	9
14591	3	14590	2	5
14596	3	291760	4	7
14599	4	386357	5	9
14632	1	14631	2	3
14650	3	14649	3	6
14665	1	386432	2	3
14689	1	14688	2	3
14729	6	14728	2	8
14738	2	14737	1	3
14753	1	14752	6	7
14759	1	14758	1	2
14761	1	386515	4	5
14765	1	14764	1	2
14780	7	14779	3	10
14783	1	14782	1	2
14831	1	14830	5	6
14839	1	386579	5	6
14845	6	14844	3	9
14853	1	386598	6	7
14865	4	291831	4	8
14869	7	14868	1	8
14873	1	14872	4	5
14875	3	14874	10	13
14877	1	14876	52	53
14880	3	14879	3	6
14898	3	14897	3	6
14902	6	14901	2	8
14903	2	386653	4	6
14905	2	14904	5	7
14919	1	14918	1	2
14923	2	386678	5	7
14935	1	291850	1	2
14969	2	291857	1	3
14983	4	386752	2	6
15009	2	15008	4	6
15010	3	386773	4	7
15013	3	15012	7	10
15058	1	15057	2	3
15103	4	386818	3	7
15127	3	15126	1	4
15142	4	15141	1	5
15164	1	15163	3	4
15172	1	15171	1	2
15182	1	15181	4	5
15220	5	15219	6	11
15237	1	15236	1	2
15270	4	15269	1	5
15279	1	386933	5	6
15294	4	15293	1	5
15295	1	291929	1	2
15302	4	15301	2	6
15332	1	15331	2	3
15338	2	15337	2	4
15350	1	386985	3	4
15356	2	15355	1	3
15363	5	15362	2	7
15405	1	387050	2	3
15409	1	15408	2	3
15412	1	387062	27	28
15426	1	15425	1	2
15436	1	15435	2	3
15445	3	291974	2	5
15457	3	15456	1	4
15463	7	818297	5	12
15468	2	15467	4	6
15503	1	15502	3	4
15505	2	15504	2	4
15546	3	15545	3	6
15566	2	15565	2	4
15600	4	15599	2	6
15615	2	15614	5	7
15624	4	387313	2	6
15626	5	15625	4	9
15631	2	15630	3	5
15635	3	387324	5	8
15647	5	292008	2	7
15649	3	292009	7	10
15654	3	15653	2	5
15659	4	15658	3	7
15661	2	387365	6	8
15663	4	15662	4	8
15665	3	15664	1	4
15666	6	387366	2	8
15693	4	387428	2	6
15702	2	15701	2	4
15703	5	387441	5	10
15709	4	15708	3	7
15715	6	387465	9	15
15718	15	15717	1	16
15752	2	15751	1	3
15767	1	15766	1	2
15792	1	292049	3	4
15801	1	15800	1	2
15806	2	15805	1	3
15817	1	15816	2	3
15822	1	15821	1	2
15824	2	15823	1	3
15857	2	387579	1	3
15860	4	15859	4	8
15891	3	387600	9	12
15897	1	15896	2	3
15909	3	387620	5	8
15925	4	15924	3	7
15955	3	15954	2	5
15970	1	15969	1	2
15972	1	15971	3	4
15983	2	387678	4	6
15987	1	387688	2	3
16014	6	16013	2	8
16019	1	16018	4	5
16029	6	16028	1	7
16046	4	16045	6	10
16058	4	387746	6	10
16076	4	387769	2	6
16080	1	16079	1	2
16093	4	387793	5	9
16096	4	387802	4	8
16106	1	16105	1	2
16141	4	16140	4	8
16168	2	292162	2	4
16189	1	16188	1	2
16201	2	16200	2	4
16226	1	16225	1	2
16262	2	387948	2	4
16275	1	16274	1	2
16278	1	16277	2	3
16283	1	16282	3	4
16306	10	16305	3	13
16312	1	16311	4	5
16324	5	16323	1	6
16354	1	16353	1	2
16361	2	16360	3	5
16371	1	16370	3	4
16437	2	388091	1	3
16439	2	16438	2	4
16442	7	388098	4	11
16449	1	16448	4	5
16451	3	16450	6	9
16453	2	16452	9	11
16456	2	16455	1	3
16463	9	388106	9	18
16471	5	16470	2	7
16483	1	16482	2	3
16496	1	16495	1	2
16510	2	16509	5	7
16516	2	388177	3	5
16557	2	16556	1	3
